n	id	ed	cut	H	soln
90	1	2003	1165	-654	011100001101110001001110001000011100011000110100111011110010101011100010111100011100011001
90	2	2003	1168	-666	111100000011000001101001000111111011110010000110100001001111110010111100000011111100011100
90	3	2003	1164	-650	010101110101001011111101001011100000110100001001001110101110110001001111100000011101000100
90	4	2003	1166	-658	011100100000010111000001110101110111000010000101101011111000010111000101010111101001011010
90	5	2003	1168	-666	001110010110110010011011111100001011001011110001011001100110101101110101000011000100100001
90	6	2003	1165	-654	110100010110001011100110011011110100101100010101011000011001011111110010101101000001101110
90	7	2003	1173	-686	111100011111011011001100101000111010001000110101101011001001001001001001111000100110010100
90	8	2003	1166	-658	100111100101111110011010101101010111101000101110100001110100011110000100001010100000010100
90	9	2003	1166	-658	100000001111101101101010011001010010000110100111000010101100000101111101110111110000110011
100	0	2475	1438	-802	1110010100000011011100000101000001110100001010101111001100111100101011110101001011100111101010001111
100	1	2475	1429	-766	0011111001011111110010111100110100000101101110101001011111000101001110100001111001000011000101000000
100	2	2475	1435	-790	0010011000111011110000011010001001110000111011100111101100010111100100011111100010111001010000001101
100	3	2475	1431	-774	0010010110000111101101011011110001111011100011001011000110101010011010101111010101100000110011000100
100	4	2475	1429	-766	0011011010000111010011000010010111101011110100100100011111000000111000001011000110111010011110100111
100	5	2475	1432	-778	0110001101100011001011000011110110111100000110010011011000111101100010011111010100110000111101000110
100	6	2475	1431	-774	1010110010010000011101001011110100100101001010111100111111101001110001011101000110111010011001100001
100	7	2475	1431	-774	0000100100110101101000110111011010011111001011001100011000001111100000110110111111100111000000001101
100	8	2475	1424	-746	0110101001100110101011000010010011000000100100010110111110100111110001010011110000100101100111110101
100	9	2475	1431	-774	1110110011101110000011011110000110100101010111100011101010100011001110110001000100000011001011100110
110	0	3008	1724	-880	11010011011001001011110110000000011000001000110010010000110010111101100101101100111100010110011001001110111111
110	1	2965	1702	-878	10101110000000001011111101010111100000101100000001100010111010111010111111101100110111000011001010010000011101
110	2	2969	1718	-934	11100111100111101110100110011010000101011111110101001010000111100011010011010001110001001000000100111110000100
110	3	2975	1704	-866	00101100011001100110011010100100000001011100100010000011110100010011110101110001111011001001110001110111111011
110	4	3026	1737	-896	10000111110100010011000011101011000001011011110111100110101000001010110101010100101110010110100100001011101011
110	5	3018	1732	-892	00001111000011010101010011100011011110011010010011010011011101101100001000101110011110010100101011110010000100
110	6	3019	1735	-902	11100010001111010111111011100001111101001000000010000001100100111000110111101001101100110000111011010001100110
110	7	2967	1706	-890	00001000000100100000001111101110011000110100101100011101000101110010011100111001110010101011101100111110001110
110	8	2902	1672	-884	10001010110001001000100110100010001011110000111010011010111000101111100110101100000101100111100000111111010111
110	9	2926	1680	-868	00000101101011001100100000010110001111010110111011100111000001000000111111001110010111001010111101100101101100
120	0	3550	2028	-1012	100110110101000011010011111011111111100001001000011001100001111101001001101011100010001100001000010111110110100010010010
120	1	3570	2037	-1008	000101100010000111111101100001011010111001101111001101000010001111011110001011101110000001111110011000001100001011000110
120	2	3512	2018	-1048	011000011011110110100100001101011011101000101111100000111101101010101000011111100010000110100110000101001011101100110000
120	3	3595	2051	-1014	001110010001010110111010101110011101110101101110101011100101001010110010010001011001000010000110101100101000100110111100
120	4	3584	2045	-1012	000001010111001000101000011000011100111100001000111101101000010001011101101111101101110111010110001001111110010000110001
120	5	3564	2035	-1012	100101000110100001111011110101000011111010111011100111111100111110000100001001000001011101000110111010001100111100001000
120	6	3629	2063	-994	000011100011101101001110101101001010100110010010110110000010001100010010001001111101010111001111001111101001111000100101
120	7	3531	2012	-986	111101011011100001000111001011011110011101100111000110010101000001100101100110011001110100111000010110101110010000110000
120	8	3585	2048	-1022	110010110111110100000100010101101001100010001011000111010100010110110110011110101111110010001101010100011000110011011010
120	9	3550	2023	-992	001101100111001001000111010101110101001100101010001111100111000101001010000100111001100011111110010000110101110000110011
130	0	4214	2389	-1128	0001001011101110011110001011010011010111111110111100100001000100000100001011101010001110001010001100101110110011000010111101100001
130	1	4042	2309	-1152	1101001100011101111011110100101001000001110101110110010111000110100001000001110101111011001100011100111000001000100100010111011100
130	2	4205	2387	-1138	0100010000111000001100000101011000110000110000001101110010101111111110010111010101011010111110010111010110110011001100001110100100
130	3	4241	2401	-1122	1101001000010010011001101111100110001110001011001001110110111001110110011001101010101001100011011001101001100000010110010000111001
130	4	4169	2365	-1122	0010001101011110110101111001001001111011010101100001000110100010010111110000001110100100001011011110000111001101010011110111100010
130	5	4270	2424	-1156	1011000101001001111111001010110101010101101001001100000010011101110000101010011010010100010001011110110000001110001101111111100111
130	6	4148	2353	-1116	1101111001101011011001001111110000111010011011011001001101010000011010101001011011000110101100001010111000110001110000100011110100
130	7	4189	2387	-1170	0101101101011011000010000100011010001111011110011000101100101101010010111101111110000010100111110000100110001110110111000100110011
130	8	4112	2337	-1124	1011110110100110111110101000100001110011100100110001010010100000110001110100111110100100110100110010100010111110001111000001001101
130	9	4296	2431	-1132	1000111001000011010101111110001111000111101001000001001010101110011001010010011011100000101100000111000110111001010010111110111001
140	0	4798	2726	-1308	10011001101111000001101000001011010010001111100011100011011011000110101111000111010010010001010001100011110001111111000000111010101011100110
140	1	4832	2740	-1296	01101100000110110010100010100111100101111110101000001010110110110001111110001001101010100011000101110111001100011011100011100101001010010100
140	2	4824	2724	-1248	00101010101011101001011110000100011110000111011100100011101100001010000100001001110000100111101001110000111110100111101101010001101110011011
140	3	4836	2737	-1276	10011101111010110100111010110101000101011011110101000111110110000001100101000100010101001101101000101011110110110011000001001000101111000101
140	4	4908	2777	-1292	00010111111001111011110101010001000111100100100100100110110000001111111010100010101100110010100100001111011001001101011011000000011010111100
140	5	4862	2751	-1280	01110000000011001110010010011111000110000110111010001111100000011011011000001111010101100101001100101110101000110001010111111011100101111000
140	6	4867	2752	-1274	10100100100011100110110101001110110111111000000010011010110110001110010000111001100101011000110101110011010001011010111010001001001100110110
140	7	4885	2753	-1242	00101100110101000001000001000010111111111000011101110011010011100001001001011011101000100100110011000110111001111010110000100011111111001001
140	8	4863	2757	-1302	11111010000110001011111000001001000011101110111101010110011011001000100110111000010000010011101010101010001100110100001111000111100111110010
140	9	4900	2765	-1260	10101011110011110011110100001000000101001110010010000110100110010101110010110011110110100110101110000110000000111100101100111101101101011000
150	0	5565	3134	-1406	010110010110001000010011100111101001111010101010011000100110111000100011011101010101000110100010111100001010100000111101010111010001001101010010110111
150	1	5612	3181	-1500	100110010101001111100101001000011101101110111101010101011001110001010001101111111001010100011111100111010001000100111001000000010001110000001101000111
150	2	5461	3082	-1406	001101000111001011110111101100011010110000110111111100010010100101110011100110001001000110111000100100101000110000100010000111101101100011010111101110
150	3	5490	3088	-1372	100100011011101110001010001100101001101110110001100111111010010010001110101001110011111000101000110001111100010110111010010000101001000011110101000110
150	4	5625	3159	-1386	011001100011110111110011010100001000100001111101100010000100001110111111111001111101001110011010000110111010000110100100101000101000101001101110110001
150	5	5538	3119	-1400	110110010110001011110100011111000110100011101101010101100000001001000010101011111110101100100100110000111000000001001101110000001110011101110110110011
150	6	5506	3117	-1456	111001011010100010111110001011100001110010011100110100110101110001011111011110010000001000101010111101100101000100011000110100011110011110010101000010
150	7	5545	3125	-1410	010010111111111010100100100100011110110010010111000010001010100100101011000110011101101001110110010011111111101010110001010000010110000101001111010001
150	8	5609	3162	-1430	100000111001000010010110111100111110011110001010010100010101100001110001100010101001110001010000110000100011001101110111101110111110001100110101011001
150	9	5592	3151	-1420	110101110110000101011001011110111001000100101011111101000111110000010001111111111000011001010001110110000010010001111000101110110011000101000100000000
